,venue,Team,Opposition,Over Number,Ball Number,current_run,run_rate,wickets_left,runs_till_5_over,score
118,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,9,1,67.0,7.3090909090909095,8.0,29.0,186.0
119,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,9,2,68.0,7.285714285714285,8.0,29.0,186.0
120,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,9,3,69.0,7.2631578947368425,8.0,29.0,186.0
121,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,9,4,69.0,7.137931034482759,8.0,29.0,186.0
122,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,9,5,69.0,7.016949152542373,8.0,29.0,186.0
123,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,9,6,73.0,7.299999999999999,8.0,29.0,186.0
124,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,10,1,74.0,7.278688524590164,8.0,29.0,186.0
125,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,10,2,75.0,7.258064516129032,8.0,29.0,186.0
126,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,10,3,76.0,7.238095238095237,8.0,29.0,186.0
127,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,10,4,78.0,7.3125,8.0,29.0,186.0
128,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,10,5,79.0,7.292307692307691,8.0,29.0,186.0
129,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,10,6,79.0,7.181818181818182,7.0,29.0,186.0
130,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,11,1,80.0,7.164179104477611,7.0,29.0,186.0
131,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,11,2,81.0,7.147058823529411,7.0,29.0,186.0
132,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,11,3,81.0,7.043478260869566,7.0,29.0,186.0
133,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,11,4,82.0,7.0285714285714285,7.0,29.0,186.0
134,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,11,5,83.0,7.014084507042254,7.0,29.0,186.0
135,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,11,6,83.0,6.916666666666666,7.0,29.0,186.0
136,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,12,1,84.0,6.904109589041095,7.0,29.0,186.0
137,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,12,2,88.0,7.135135135135135,7.0,29.0,186.0
138,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,12,3,89.0,7.120000000000001,7.0,29.0,186.0
139,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,12,4,90.0,7.105263157894736,7.0,29.0,186.0
140,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,12,5,90.0,7.012987012987013,6.0,29.0,186.0
141,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,12,6,91.0,7.0,5.0,29.0,186.0
142,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,13,1,92.0,6.987341772151899,5.0,29.0,186.0
143,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,13,2,93.0,6.9750000000000005,5.0,29.0,186.0
144,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,13,3,94.0,6.962962962962964,5.0,29.0,186.0
145,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,13,4,94.0,6.878048780487804,5.0,29.0,186.0
146,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,13,5,95.0,6.867469879518072,5.0,29.0,186.0
147,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,13,6,95.0,6.785714285714286,5.0,29.0,186.0
148,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,14,1,95.0,6.705882352941177,5.0,29.0,186.0
149,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,14,2,97.0,6.767441860465116,5.0,29.0,186.0
150,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,14,3,98.0,6.758620689655173,5.0,29.0,186.0
151,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,14,4,104.0,7.090909090909092,5.0,29.0,186.0
152,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,14,5,104.0,7.011235955056179,5.0,29.0,186.0
153,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,14,6,108.0,7.199999999999999,5.0,29.0,186.0
155,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,15,1,110.0,7.252747252747252,5.0,29.0,186.0
156,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,15,2,111.0,7.239130434782609,5.0,29.0,186.0
157,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,15,3,112.0,7.225806451612904,5.0,29.0,186.0
158,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,15,4,116.0,7.404255319148936,5.0,29.0,186.0
159,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,15,5,117.0,7.389473684210527,5.0,29.0,186.0
160,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,15,6,118.0,7.375,5.0,29.0,186.0
161,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,16,1,119.0,7.360824742268042,5.0,29.0,186.0
162,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,16,2,120.0,7.346938775510204,5.0,29.0,186.0
